member_id,dob,gender,annual_pension_gbp,commencement_date,pension_type,dependant_indicator
UKA-00000,1949-11-10,M,23669.03,2012-11-01,level,1
UKA-00001,1953-01-27,M,12588.27,2004-12-01,level,1
UKA-00002,1949-09-04,M,16217.78,2015-07-01,escalating,1
UKA-00003,1953-06-26,F,25917.29,2008-04-01,escalating,1
UKA-00004,1942-05-08,M,15066.52,2017-05-01,escalating,1
UKA-00005,1950-05-02,M,31470.93,2001-09-01,escalating,0
UKA-00006,1954-02-27,F,9513.32,2001-03-01,escalating,0
UKA-00007,1943-11-26,F,21991.4,2011-07-01,escalating,0
UKA-00008,1953-05-07,F,20486.22,2017-11-01,escalating,0
UKA-00009,1943-12-04,M,14401.57,2020-12-01,level,1
UKA-00010,1957-03-16,M,17749.85,2019-03-01,escalating,0
UKA-00011,1948-05-09,M,35044.04,2018-04-01,escalating,1
UKA-00012,1956-06-03,M,12181.87,2023-02-01,level,1
UKA-00013,1949-01-20,M,22563.55,2002-07-01,level,1
UKA-00014,1954-08-25,F,32951.9,2016-01-01,escalating,0
UKA-00015,1940-09-05,M,11584.51,2010-11-01,level,1
UKA-00016,1947-05-24,M,33999.47,2004-01-01,level,1
UKA-00017,1957-03-06,M,13498.14,2002-01-01,escalating,1
UKA-00018,1957-10-23,F,12093.6,2006-09-01,escalating,0
UKA-00019,1949-11-26,F,3450.5,1998-08-01,escalating,1
UKA-00020,1951-06-24,F,21061.02,2010-05-01,escalating,0
UKA-00021,1947-09-07,F,13058.01,2016-08-01,level,0
UKA-00022,1947-02-15,F,11784.34,2003-05-01,escalating,1
UKA-00023,1953-10-25,M,24413.35,2020-11-01,escalating,0
UKA-00024,1953-12-17,F,4510.43,2013-12-01,escalating,1
UKA-00025,1943-02-19,M,17141.81,2019-05-01,level,1
UKA-00026,1951-11-05,F,18424.56,2003-06-01,level,1
UKA-00027,1943-07-21,F,6524.2,2001-11-01,escalating,1
UKA-00028,1945-05-07,M,19276.12,2018-05-01,escalating,1
UKA-00029,1946-08-17,M,19964.25,2010-03-01,level,1
UKA-00030,1959-09-26,M,13776.85,2019-08-01,level,0
UKA-00031,1959-02-14,F,29770.76,2016-12-01,escalating,1
UKA-00032,1958-07-14,F,22310.68,2004-12-01,level,0
UKA-00033,1942-12-17,F,19292.88,2008-03-01,level,1
UKA-00034,1954-01-26,M,17791.84,2023-12-01,escalating,1
UKA-00035,1945-12-11,F,28170.24,2010-04-01,escalating,0
UKA-00036,1956-08-04,M,16692.82,2003-07-01,escalating,0
UKA-00037,1949-05-05,M,21645.63,2006-05-01,level,1
UKA-00038,1956-02-28,M,30332.23,2002-08-01,escalating,0
UKA-00039,1939-03-08,M,9126.32,2018-08-01,level,1
UKA-00040,1938-05-27,M,13122.82,2001-08-01,escalating,1
UKA-00041,1941-07-23,M,11187.55,2001-05-01,level,0
UKA-00042,1954-06-17,M,33582.31,2006-09-01,escalating,1
UKA-00043,1957-12-20,M,35617.45,2007-06-01,escalating,1
UKA-00044,1944-03-04,M,15601.96,1999-10-01,escalating,0
UKA-00045,1953-07-19,F,28167.36,2007-05-01,level,0
UKA-00046,1945-06-28,F,8457.29,2020-08-01,escalating,0
UKA-00047,1956-09-09,M,6061.63,2021-09-01,escalating,1
UKA-00048,1942-03-11,M,20614.25,1999-01-01,level,1
UKA-00049,1955-06-07,F,29012.19,2011-05-01,escalating,1
UKA-00050,1951-03-05,M,14609.02,2013-01-01,escalating,0
UKA-00051,1960-02-26,M,7462.08,2006-06-01,escalating,0
UKA-00052,1944-07-25,F,12508.03,2022-01-01,escalating,0
UKA-00053,1958-05-15,F,31613.91,1998-11-01,escalating,1
UKA-00054,1955-09-06,M,27230.14,2006-04-01,escalating,0
UKA-00055,1950-05-23,F,15464.11,2005-01-01,escalating,0
UKA-00056,1948-09-21,F,18551.57,2002-01-01,escalating,1
UKA-00057,1960-05-13,F,29337.84,2001-10-01,level,1
UKA-00058,1947-12-16,F,2513.32,2005-05-01,level,1
UKA-00059,1938-07-09,M,27239.61,2008-12-01,level,0
UKA-00060,1949-04-10,M,32257.05,2021-10-01,level,1
UKA-00061,1948-01-16,M,7287.94,2013-09-01,level,0
UKA-00062,1959-01-06,F,25287.41,1998-04-01,level,0
UKA-00063,1956-10-06,M,27136.69,2013-02-01,escalating,1
UKA-00064,1951-02-06,F,33203.86,2008-10-01,escalating,0
UKA-00065,1955-05-14,F,29770.11,1998-10-01,level,0
UKA-00066,1938-05-14,F,32703.36,2006-06-01,escalating,0
UKA-00067,1956-01-24,F,20585.94,2016-06-01,escalating,1
UKA-00068,1950-10-18,F,17399.17,2007-02-01,level,0
UKA-00069,1944-01-07,F,36033.27,2003-06-01,escalating,0
UKA-00070,1941-05-02,M,36282.97,2006-12-01,escalating,0
UKA-00071,1942-08-05,F,9242.46,2022-08-01,escalating,1
UKA-00072,1955-04-28,M,35971.01,2017-12-01,escalating,1
UKA-00073,1938-03-26,F,13601.9,2004-03-01,level,1
UKA-00074,1944-08-04,F,12914.19,2022-05-01,level,0
UKA-00075,1959-04-01,F,30349.9,2004-12-01,escalating,0
UKA-00076,1946-07-26,M,31648.69,2008-11-01,escalating,0
UKA-00077,1943-06-04,F,28283.85,1999-09-01,escalating,0
UKA-00078,1942-08-09,F,24119.69,2004-01-01,escalating,1
UKA-00079,1943-02-18,F,34840.56,2009-05-01,escalating,1
UKA-00080,1955-08-22,M,31512.03,2003-03-01,escalating,1
UKA-00081,1956-09-20,M,26607.17,2000-09-01,escalating,1
UKA-00082,1946-02-06,M,20566.4,2023-05-01,level,1
UKA-00083,1960-04-27,M,9553.18,2012-05-01,level,1
UKA-00084,1938-10-20,M,17311.45,2010-05-01,escalating,1
UKA-00085,1953-12-03,M,19320.78,2013-07-01,escalating,1
UKA-00086,1957-10-27,F,21696.42,2015-07-01,escalating,0
UKA-00087,1954-03-17,F,22927.35,2016-12-01,level,0
UKA-00088,1957-05-10,F,16576.13,2022-11-01,escalating,0
UKA-00089,1956-02-22,F,18716.25,2006-02-01,escalating,1
UKA-00090,1939-02-06,F,4306.34,2013-09-01,escalating,0
UKA-00091,1952-05-26,F,36631.99,2008-12-01,escalating,0
UKA-00092,1943-09-12,F,13477.93,2015-04-01,escalating,1
UKA-00093,1949-09-18,F,27558.57,2022-09-01,level,0
UKA-00094,1952-05-11,F,33116.24,2019-04-01,escalating,1
UKA-00095,1954-07-02,F,31282.85,2012-11-01,level,1
UKA-00096,1938-01-19,F,16190.19,2015-05-01,escalating,1
UKA-00097,1954-08-20,M,30309.66,2022-10-01,escalating,1
UKA-00098,1953-02-03,F,26171.66,2021-04-01,escalating,0
UKA-00099,1945-08-10,F,11987.54,2010-04-01,escalating,0
UKA-00100,1943-11-25,M,34011.46,2020-10-01,escalating,0
UKA-00101,1939-09-21,F,25866.62,2011-01-01,level,0
UKA-00102,1948-03-25,M,23212.15,2014-04-01,level,1
UKA-00103,1956-10-01,M,3385.83,2009-09-01,escalating,0
UKA-00104,1952-09-25,F,25082.24,2013-04-01,escalating,1
UKA-00105,1958-12-06,M,10775.21,2008-12-01,escalating,1
UKA-00106,1938-12-25,M,29961.41,2009-07-01,level,0
UKA-00107,1951-07-04,M,36804.89,2006-10-01,level,0
UKA-00108,1958-04-20,F,30967.53,2023-04-01,escalating,1
UKA-00109,1944-11-24,F,36916.54,2013-03-01,level,0
UKA-00110,1945-04-15,M,8638.69,2016-05-01,escalating,0
UKA-00111,1958-04-23,F,3032.02,2021-09-01,escalating,1
UKA-00112,1945-10-15,M,28511.4,2014-12-01,escalating,1
UKA-00113,1946-06-26,F,3661.37,2022-12-01,level,1
UKA-00114,1957-12-06,F,12327.85,2010-07-01,escalating,1
UKA-00115,1957-11-19,F,30674.41,2023-07-01,escalating,1
UKA-00116,1959-09-10,M,10653.69,2002-12-01,escalating,1
UKA-00117,1946-05-20,M,9408.74,2003-02-01,escalating,1
UKA-00118,1958-09-23,F,37710.64,2018-06-01,level,1
UKA-00119,1951-12-14,M,36130.42,2023-02-01,level,0
UKA-00120,1950-07-13,M,22634.44,2022-03-01,level,0
UKA-00121,1955-10-15,M,20685.54,2018-09-01,escalating,1
UKA-00122,1939-09-08,M,7614.66,1998-02-01,escalating,1
UKA-00123,1945-05-27,M,26907.05,2018-12-01,escalating,0
UKA-00124,1956-04-06,F,25127.44,2016-09-01,escalating,0
UKA-00125,1960-10-19,M,24740.57,1999-12-01,level,1
UKA-00126,1959-06-13,M,25623.43,2020-09-01,escalating,1
UKA-00127,1940-11-10,M,31700.76,2009-02-01,escalating,1
UKA-00128,1938-02-17,M,14672.3,2017-03-01,level,0
UKA-00129,1943-05-02,F,8530.28,2023-02-01,escalating,1
UKA-00130,1955-03-12,F,8333.99,2011-06-01,escalating,0
UKA-00131,1947-09-26,F,4641.12,2004-09-01,level,0
UKA-00132,1943-06-12,M,15563.32,2000-11-01,level,1
UKA-00133,1946-09-13,M,11267.91,2015-06-01,escalating,1
UKA-00134,1940-12-07,F,21166.66,2009-05-01,escalating,1
UKA-00135,1955-10-21,F,22844.68,2000-09-01,escalating,1
UKA-00136,1939-05-22,F,16198.46,2001-10-01,level,1
UKA-00137,1940-04-13,F,31613.51,2007-09-01,level,1
UKA-00138,1946-09-24,F,31344.42,2012-01-01,escalating,1
UKA-00139,1954-09-20,F,22271.05,2018-07-01,escalating,1
UKA-00140,1943-11-26,M,6110.54,1998-10-01,escalating,1
UKA-00141,1953-09-23,F,17122.05,2005-11-01,escalating,1
UKA-00142,1951-03-15,F,12490.79,2012-04-01,escalating,1
UKA-00143,1944-01-24,F,13746.06,2022-10-01,escalating,1
UKA-00144,1959-09-07,F,29752.66,2021-12-01,escalating,1
UKA-00145,1960-12-02,M,27112.76,2023-02-01,level,1
UKA-00146,1958-04-02,M,17501.25,2006-11-01,level,0
UKA-00147,1942-04-12,F,29898.46,2012-09-01,escalating,1
UKA-00148,1950-10-18,F,37137.31,2015-12-01,level,0
UKA-00149,1953-02-15,F,16490.72,2000-01-01,level,1
UKA-00150,1951-11-13,M,37419.57,2001-11-01,escalating,1
UKA-00151,1954-10-13,M,21480.12,2017-08-01,level,0
UKA-00152,1947-04-05,M,12994.71,2017-10-01,escalating,1
UKA-00153,1953-07-23,F,10523.78,2000-07-01,escalating,0
UKA-00154,1960-08-07,F,29243.48,2010-04-01,level,1
UKA-00155,1948-08-02,M,27986.48,2000-08-01,escalating,0
UKA-00156,1947-10-13,M,19569.21,2009-05-01,escalating,1
UKA-00157,1958-06-09,F,3757.22,2021-07-01,escalating,0
UKA-00158,1943-09-07,M,19727.18,2017-10-01,escalating,1
